k,TP_maintained_risky,FP_unnecessary_maintenance,TN_correct_no_maintenance,FN_missed_risky_cases,false_negative_rate,false_positive_rate,total_cost,average_cost_per_sample,dataset,cost_fp,cost_fn,maintenance_threshold
0.45,376,42,3608,44,0.10476190476190476,0.011506849315068493,130.0,0.03194103194103194,FD001,1.0,2,20
0.8,394,93,3557,26,0.06190476190476191,0.02547945205479452,223.0,0.05479115479115479,FD001,1.0,5,20
1.25,416,252,3398,4,0.009523809523809525,0.06904109589041096,292.0,0.07174447174447174,FD001,1.0,10,20
1.25,416,252,3398,4,0.009523809523809525,0.06904109589041096,332.0,0.08157248157248158,FD001,1.0,20,20
1.4,419,343,3307,1,0.002380952380952381,0.09397260273972603,393.0,0.09656019656019656,FD001,1.0,50,20
1.55,420,438,3212,0,0.0,0.12,438.0,0.10761670761670762,FD001,1.0,100,20
0.65,835,476,8727,257,0.23534798534798534,0.051722264478974246,990.0,0.0961631860126275,FD002,1.0,2,20
1.0,963,859,8344,129,0.11813186813186813,0.09333912854503966,1504.0,0.14609033511413308,FD002,1.0,5,20
1.15,999,1094,8109,93,0.08516483516483517,0.11887428012604585,2024.0,0.19660029140359397,FD002,1.0,10,20
1.4,1035,1558,7645,57,0.0521978021978022,0.16929262197109637,2698.0,0.2620689655172414,FD002,1.0,20,20
1.8,1066,2538,6665,26,0.023809523809523808,0.2757796370748669,3838.0,0.37280233122875184,FD002,1.0,50,20
2.0,1071,3035,6168,21,0.019230769230769232,0.32978376616320765,5135.0,0.49878581835842645,FD002,1.0,100,20
0.35,366,51,4237,54,0.12857142857142856,0.01189365671641791,159.0,0.03377230246389125,FD003,1.0,2,20
0.8,393,111,4177,27,0.06428571428571428,0.025886194029850745,246.0,0.052251486830926085,FD003,1.0,5,20
1.15,403,194,4094,17,0.04047619047619048,0.045242537313432835,364.0,0.07731520815632965,FD003,1.0,10,20
1.6,416,376,3912,4,0.009523809523809525,0.08768656716417911,456.0,0.09685641461342395,FD003,1.0,20,20
1.65,417,402,3886,3,0.007142857142857143,0.09375,552.0,0.11724723874256585,FD003,1.0,50,20
1.65,417,402,3886,3,0.007142857142857143,0.09375,702.0,0.14910790144435004,FD003,1.0,100,20
0.6,706,347,10558,344,0.32761904761904764,0.03182026593305823,1035.0,0.08657465495608532,FD004,1.0,2,20
0.95,829,700,10205,221,0.21047619047619048,0.06419073819348922,1805.0,0.15098285236302803,FD004,1.0,5,20
1.5,952,1624,9281,98,0.09333333333333334,0.148922512608895,2604.0,0.2178168130489335,FD004,1.0,10,20
1.65,976,1978,8927,74,0.07047619047619047,0.18138468592388812,3458.0,0.2892513592639063,FD004,1.0,20,20
2.0,1010,2890,8015,40,0.0380952380952381,0.2650160476845484,4890.0,0.4090338770388959,FD004,1.0,50,20
2.0,1010,2890,8015,40,0.0380952380952381,0.2650160476845484,6890.0,0.5763278962777081,FD004,1.0,100,20
