lambda,gamma,Model,Risk_Loss
1,0.01,Gradient Boosting,11.66866703710157
1,0.01,Random Forest,11.776705833724114
1,0.01,Decision Tree,13.415816012798556
1,0.01,Linear Regression,14.786012290512192
1,0.05,Gradient Boosting,8.338359926411865
1,0.05,Random Forest,8.435333961442636
1,0.05,Decision Tree,9.47411022906095
1,0.05,Linear Regression,10.615308282219427
1,0.1,Gradient Boosting,7.904421038886935
1,0.1,Random Forest,7.980704433783321
1,0.1,Decision Tree,8.914447502911933
1,0.1,Linear Regression,9.835534399588871
2,0.01,Gradient Boosting,15.643376536540647
2,0.01,Random Forest,15.796028375064926
2,0.01,Decision Tree,18.25024543825945
2,0.01,Linear Regression,20.180790099003964
2,0.05,Gradient Boosting,8.982762315161228
2,0.05,Random Forest,9.113284630501981
2,0.05,Decision Tree,10.366833870784237
2,0.05,Linear Regression,11.839382082418437
2,0.1,Gradient Boosting,8.114884540111373
2,0.1,Random Forest,8.204025575183348
2,0.1,Decision Tree,9.247508418486207
2,0.1,Linear Regression,10.279834317157325
3,0.01,Gradient Boosting,19.618086035979722
3,0.01,Random Forest,19.815350916405745
3,0.01,Decision Tree,23.084674863720345
3,0.01,Linear Regression,25.57556790749574
3,0.05,Gradient Boosting,9.627164703910596
3,0.05,Random Forest,9.791235299561324
3,0.05,Decision Tree,11.259557512507527
3,0.05,Linear Regression,13.063455882617449
3,0.1,Gradient Boosting,8.325348041335811
3,0.1,Random Forest,8.427346716583376
3,0.1,Decision Tree,9.58056933406048
3,0.1,Linear Regression,10.724134234725781
5,0.01,Gradient Boosting,27.56750503485787
5,0.01,Random Forest,27.85399599908738
5,0.01,Decision Tree,32.75353371464214
5,0.01,Linear Regression,36.36512352447929
5,0.05,Gradient Boosting,10.915969481409329
5,0.05,Random Forest,11.147136637680012
5,0.05,Decision Tree,13.0450047959541
5,0.05,Linear Regression,15.511603483015469
5,0.1,Gradient Boosting,8.746275043784689
5,0.1,Random Forest,8.87398899938343
5,0.1,Decision Tree,10.246691165209024
5,0.1,Linear Regression,11.612734069862691
