k,TP_maintained_risky,FP_unnecessary_maintenance,TN_correct_no_maintenance,FN_missed_risky_cases,false_negative_rate,false_positive_rate,total_cost,average_cost_per_sample,dataset,cost_fp,cost_fn,maintenance_threshold
0.0,537,152,9051,555,0.5082417582417582,0.016516353363033795,1262.0,0.12258377853326857,FD002,1.0,2,20
0.05,557,164,9039,535,0.4899267399267399,0.017820275996957513,1234.0,0.11986401165614376,FD002,1.0,2,20
0.1,580,191,9012,512,0.46886446886446886,0.020754101923285886,1215.0,0.11801845556095192,FD002,1.0,2,20
0.15,601,205,8998,491,0.44963369963369965,0.02227534499619689,1187.0,0.1152986886838271,FD002,1.0,2,20
0.2,615,219,8984,477,0.4368131868131868,0.0237965880691079,1173.0,0.11393880524526469,FD002,1.0,2,20
0.25,640,240,8963,452,0.4139194139194139,0.02607845267847441,1144.0,0.11112190383681399,FD002,1.0,2,20
0.3,663,261,8942,429,0.39285714285714285,0.02836031728784092,1119.0,0.10869354055366683,FD002,1.0,2,20
0.35,688,280,8923,404,0.36996336996337,0.030424861458220147,1088.0,0.10568237008256436,FD002,1.0,2,20
0.4,710,304,8899,382,0.3498168498168498,0.03303270672606759,1068.0,0.10373967945604662,FD002,1.0,2,20
0.45,728,327,8876,364,0.3333333333333333,0.035531891774421384,1055.0,0.1024769305488101,FD002,1.0,2,20
0.5,753,357,8846,339,0.31043956043956045,0.038791698359230686,1035.0,0.10053423992229238,FD002,1.0,2,20
0.55,776,393,8810,316,0.2893772893772894,0.04270346626100185,1025.0,0.09956289460903352,FD002,1.0,2,20
0.6,807,439,8764,285,0.260989010989011,0.04770183635770944,1009.0,0.09800874210781933,FD002,1.0,2,20
0.65,835,476,8727,257,0.23534798534798534,0.051722264478974246,990.0,0.0961631860126275,FD002,1.0,2,20
0.7,849,518,8685,243,0.22252747252747251,0.056285993697707266,1004.0,0.0975230694511899,FD002,1.0,2,20
0.75,866,568,8635,226,0.20695970695970695,0.06171900467238944,1020.0,0.09907722195240408,FD002,1.0,2,20
0.8,885,616,8587,207,0.18956043956043955,0.06693469520808432,1030.0,0.10004856726566294,FD002,1.0,2,20
0.85,911,671,8532,181,0.16575091575091574,0.07291100728023471,1033.0,0.1003399708596406,FD002,1.0,2,20
0.9,931,733,8470,161,0.14743589743589744,0.0796479408888406,1055.0,0.1024769305488101,FD002,1.0,2,20
0.95,948,799,8404,144,0.13186813186813187,0.08681951537542106,1087.0,0.10558523555123847,FD002,1.0,2,20
1.0,963,859,8344,129,0.11813186813186813,0.09333912854503966,1117.0,0.10849927149101506,FD002,1.0,2,20
1.05,976,926,8277,116,0.10622710622710622,0.10061936325111377,1158.0,0.1124817872753764,FD002,1.0,2,20
1.1,986,1017,8186,106,0.09706959706959707,0.11050744322503532,1229.0,0.11937833899951433,FD002,1.0,2,20
1.15,999,1094,8109,93,0.08516483516483517,0.11887428012604585,1280.0,0.12433220009713453,FD002,1.0,2,20
1.2,1008,1185,8018,84,0.07692307692307693,0.12876236009996742,1353.0,0.13142302088392424,FD002,1.0,2,20
1.25,1017,1293,7910,75,0.06868131868131869,0.1404976638052809,1443.0,0.140165128703254,FD002,1.0,2,20
1.3,1019,1369,7834,73,0.06684981684981685,0.1487558404867978,1515.0,0.14715881495871783,FD002,1.0,2,20
1.35,1029,1470,7733,63,0.057692307692307696,0.15973052265565577,1596.0,0.15502671199611462,FD002,1.0,2,20
1.4,1035,1558,7645,57,0.0521978021978022,0.16929262197109637,1672.0,0.16240893637688197,FD002,1.0,2,20
1.45,1038,1685,7518,54,0.04945054945054945,0.1830924698467891,1793.0,0.17416221466731424,FD002,1.0,2,20
1.5,1046,1794,7409,46,0.04212454212454213,0.19493643377159622,1886.0,0.18319572608062165,FD002,1.0,2,20
1.55,1048,1921,7282,44,0.040293040293040296,0.20873628164728894,2009.0,0.1951432734337057,FD002,1.0,2,20
1.6,1052,2040,7163,40,0.03663003663003663,0.2216668477670325,2120.0,0.20592520641087908,FD002,1.0,2,20
1.65,1057,2168,7035,35,0.03205128205128205,0.23557535586221884,2238.0,0.21738708110733365,FD002,1.0,2,20
1.7,1061,2292,6911,31,0.028388278388278388,0.24904922307943061,2354.0,0.22865468674113648,FD002,1.0,2,20
1.75,1062,2423,6780,30,0.027472527472527472,0.2632837118330979,2483.0,0.24118504128217583,FD002,1.0,2,20
1.8,1066,2538,6665,26,0.023809523809523808,0.2757796370748669,2590.0,0.2515784361340457,FD002,1.0,2,20
1.85,1067,2690,6513,25,0.022893772893772892,0.29229599043790067,2740.0,0.2661486158329286,FD002,1.0,2,20
1.9,1067,2794,6409,25,0.022893772893772892,0.3035966532652396,2844.0,0.2762506070908208,FD002,1.0,2,20
1.95,1069,2910,6293,23,0.021062271062271064,0.31620123872650224,2956.0,0.28712967459932004,FD002,1.0,2,20
2.0,1071,3035,6168,21,0.019230769230769232,0.32978376616320765,3077.0,0.2988829528897523,FD002,1.0,2,20
0.0,537,152,9051,555,0.5082417582417582,0.016516353363033795,2927.0,0.28431277319086934,FD002,1.0,5,20
0.05,557,164,9039,535,0.4899267399267399,0.017820275996957513,2839.0,0.27576493443419137,FD002,1.0,5,20
0.1,580,191,9012,512,0.46886446886446886,0.020754101923285886,2751.0,0.26721709567751334,FD002,1.0,5,20
0.15,601,205,8998,491,0.44963369963369965,0.02227534499619689,2660.0,0.2583778533268577,FD002,1.0,5,20
0.2,615,219,8984,477,0.4368131868131868,0.0237965880691079,2604.0,0.25293831957260804,FD002,1.0,5,20
0.25,640,240,8963,452,0.4139194139194139,0.02607845267847441,2500.0,0.24283632831471588,FD002,1.0,5,20
0.3,663,261,8942,429,0.39285714285714285,0.02836031728784092,2406.0,0.23370568237008257,FD002,1.0,5,20
0.35,688,280,8923,404,0.36996336996337,0.030424861458220147,2300.0,0.22340942204953862,FD002,1.0,5,20
0.4,710,304,8899,382,0.3498168498168498,0.03303270672606759,2214.0,0.2150558523555124,FD002,1.0,5,20
0.45,728,327,8876,364,0.3333333333333333,0.035531891774421384,2147.0,0.208547838756678,FD002,1.0,5,20
0.5,753,357,8846,339,0.31043956043956045,0.038791698359230686,2052.0,0.1993200582807188,FD002,1.0,5,20
0.55,776,393,8810,316,0.2893772893772894,0.04270346626100185,1973.0,0.19164643030597378,FD002,1.0,5,20
0.6,807,439,8764,285,0.260989010989011,0.04770183635770944,1864.0,0.18105876639145216,FD002,1.0,5,20
0.65,835,476,8727,257,0.23534798534798534,0.051722264478974246,1761.0,0.17105390966488587,FD002,1.0,5,20
0.7,849,518,8685,243,0.22252747252747251,0.056285993697707266,1733.0,0.16833414278776104,FD002,1.0,5,20
0.75,866,568,8635,226,0.20695970695970695,0.06171900467238944,1698.0,0.16493443419135503,FD002,1.0,5,20
0.8,885,616,8587,207,0.18956043956043955,0.06693469520808432,1651.0,0.16036911121903838,FD002,1.0,5,20
0.85,911,671,8532,181,0.16575091575091574,0.07291100728023471,1576.0,0.1530840213695969,FD002,1.0,5,20
0.9,931,733,8470,161,0.14743589743589744,0.0796479408888406,1538.0,0.14939290917921322,FD002,1.0,5,20
0.95,948,799,8404,144,0.13186813186813187,0.08681951537542106,1519.0,0.14754735308402137,FD002,1.0,5,20
1.0,963,859,8344,129,0.11813186813186813,0.09333912854503966,1504.0,0.14609033511413308,FD002,1.0,5,20
1.05,976,926,8277,116,0.10622710622710622,0.10061936325111377,1506.0,0.14628460417678485,FD002,1.0,5,20
1.1,986,1017,8186,106,0.09706959706959707,0.11050744322503532,1547.0,0.1502671199611462,FD002,1.0,5,20
1.15,999,1094,8109,93,0.08516483516483517,0.11887428012604585,1559.0,0.1514327343370568,FD002,1.0,5,20
1.2,1008,1185,8018,84,0.07692307692307693,0.12876236009996742,1605.0,0.1559009227780476,FD002,1.0,5,20
1.25,1017,1293,7910,75,0.06868131868131869,0.1404976638052809,1668.0,0.16202039825157843,FD002,1.0,5,20
1.3,1019,1369,7834,73,0.06684981684981685,0.1487558404867978,1734.0,0.16843127731908694,FD002,1.0,5,20
1.35,1029,1470,7733,63,0.057692307692307696,0.15973052265565577,1785.0,0.17338513841670714,FD002,1.0,5,20
1.4,1035,1558,7645,57,0.0521978021978022,0.16929262197109637,1843.0,0.17901894123360854,FD002,1.0,5,20
1.45,1038,1685,7518,54,0.04945054945054945,0.1830924698467891,1955.0,0.18989800874210783,FD002,1.0,5,20
1.5,1046,1794,7409,46,0.04212454212454213,0.19493643377159622,2024.0,0.19660029140359397,FD002,1.0,5,20
