unit,cycle,op_1,op_2,op_3,s_1,s_2,s_3,s_4,s_5,s_6,s_7,s_8,s_9,s_10,s_11,s_12,s_13,s_14,s_15,s_16,s_17,s_18,s_19,s_20,s_21,max_cycle,RUL,s_7_roll_mean_5,s_7_roll_std_5,s_12_roll_mean_5,s_12_roll_std_5,s_14_roll_mean_5,s_14_roll_std_5,s_20_roll_mean_5,s_20_roll_std_5,s_21_roll_mean_5,s_21_roll_std_5,predicted_rul,uncertainty_std,pred_lower,pred_upper,interval_width,error,abs_error,overestimate,covered_by_interval
6,1,20.0059,0.7,100.0,491.19,606.93,1478.67,1246.09,9.35,13.66,336.02,2323.93,8719.67,1.08,44.26,315.59,2388.12,8061.99,9.1713,0.02,365,2324,100.0,24.55,14.627,175,140,336.02,0.0,315.59,0.0,8061.99,0.0,24.55,0.0,14.627,0.0,154.95298316029994,45.43379844029664,109.5191847200033,154.95298316029994,45.43379844029664,-14.952983160299937,14.952983160299937,True,True
6,2,42.0066,0.842,100.0,445.0,549.33,1358.82,1120.77,3.91,5.72,138.88,2211.9,8327.19,1.02,42.02,130.57,2388.02,8082.89,9.3147,0.02,330,2212,100.0,10.6,6.3416,175,140,237.45,139.39903084311598,223.07999999999998,130.828896655135,8072.4400000000005,14.778531726798908,17.575,9.864139597552338,10.484300000000001,5.858662524843022,126.74186040798277,74.51459816583821,52.227262242144555,140.0,87.77273775785545,13.25813959201723,13.25813959201723,False,True
6,3,25.0009,0.62,60.0,462.54,536.69,1253.49,1046.28,7.05,9.03,175.18,1915.33,8020.82,0.94,36.52,164.84,2028.22,7880.15,10.8423,0.02,306,1915,84.93,14.37,8.5912,175,140,216.6933333333333,104.9216971523685,203.66666666666666,98.43136000956875,8008.343333333333,111.50941903414893,16.506666666666664,7.216275586016192,9.853266666666668,4.2844570826807615,121.93682704248086,70.4036547572984,51.53317228518245,140.0,88.46682771481755,18.063172957519143,18.063172957519143,False,True
6,4,25.0023,0.622,60.0,462.54,536.95,1255.98,1039.59,7.05,9.03,174.82,1915.36,8010.78,0.94,36.6,164.79,2028.31,7874.56,10.8868,0.02,307,1915,84.93,14.3,8.6176,175,140,206.225,88.18948746874538,193.9475,82.68617714991221,7974.8975,112.97814873534922,15.955,5.994478014528593,9.54435,3.5523841322882497,117.1044525444132,71.77698625734358,45.327466287069626,140.0,94.67253371293037,22.895547455586794,22.895547455586794,False,True
6,5,42.0045,0.8419,100.0,445.0,549.62,1353.71,1121.55,3.91,5.71,139.04,2211.93,8316.01,1.02,41.93,129.93,2387.98,8085.4,9.3748,0.02,327,2212,100.0,10.68,6.4058,175,140,192.78799999999998,82.07194478017442,181.144,77.11939431816097,7996.998,109.61389998535775,14.9,5.702232019130754,8.91664,3.381519479169092,95.67124542900505,58.35089894252242,37.320346486482634,140.0,102.67965351351737,44.328754570994946,44.328754570994946,False,True
6,6,42.0018,0.8416,100.0,445.0,549.71,1354.38,1121.67,3.91,5.72,138.22,2211.93,8322.65,1.02,41.99,130.68,2387.93,8088.3,9.3543,0.02,331,2212,100.0,10.54,6.4065,175,140,153.228,19.877809738499845,144.162,18.855706563266217,8002.26,114.05533766553854,12.098,2.042846053915961,7.272539999999999,1.2161376764166167,122.45619846930539,75.33891257980969,47.117285889495705,140.0,92.8827141105043,17.54380153069461,17.54380153069461,False,True
6,7,10.0021,0.2515,100.0,489.05,604.1,1495.16,1308.5,10.52,15.49,395.38,2318.9,8784.26,1.26,45.33,371.9,2388.02,8132.32,8.5863,0.03,368,2319,100.0,28.66,17.1665,175,140,204.528,108.22867605214435,192.428,101.80124149537663,8012.145999999999,124.4590514185288,15.709999999999999,7.475225749099487,9.43752,4.45825264503931,139.25035487268866,65.22845157408392,74.02190329860474,140.0,65.97809670139526,0.7496451273113394,0.7496451273113394,False,True
6,8,10.0038,0.25,100.0,489.05,603.92,1497.86,1305.61,10.52,15.49,395.26,2318.89,8774.66,1.26,45.29,371.73,2388.05,8129.38,8.6603,0.03,369,2319,100.0,28.6,17.2339,175,140,248.544,134.7999765578615,233.80599999999998,126.76887050849663,8061.992,107.0723704790364,18.556,9.318984923262832,11.166059999999998,5.581937331518512,138.70840556321997,64.6239944726716,74.08441109054837,140.0,65.91558890945163,1.2915944367800307,1.2915944367800307,False,True
6,9,0.0023,0.0,100.0,518.67,642.64,1584.43,1402.0,14.62,21.61,554.13,2388.04,9052.62,1.3,47.24,522.01,2388.04,8136.82,8.3925,0.03,393,2388,100.0,39.17,23.3952,175,140,324.40600000000006,181.5602480720932,305.25,171.06906339253737,8114.444,25.34947494525657,23.53,12.554819791617877,14.12158,7.483545648755008,140.34964535031634,33.75005914009358,106.59958621022275,140.34964535031634,33.75005914009358,-0.3496453503163366,0.3496453503163366,True,True
6,10,35.0076,0.8409,100.0,449.44,555.32,1365.29,1127.49,5.48,8.0,194.51,2222.96,8350.31,1.02,41.59,183.3,2388.08,8068.97,9.2709,0.02,335,2223,100.0,14.91,8.8867,175,140,335.5,168.63683420297008,315.924,158.6060579864463,8111.158,30.58073445815463,24.375999999999998,11.576887751032224,14.617759999999999,6.903867694126244,127.81924823846848,81.39687633521987,46.422371903248596,140.0,93.5776280967514,12.180751761531525,12.180751761531525,False,True
