unit,cycle,op_1,op_2,op_3,s_1,s_2,s_3,s_4,s_5,s_6,s_7,s_8,s_9,s_10,s_11,s_12,s_13,s_14,s_15,s_16,s_17,s_18,s_19,s_20,s_21,max_cycle,RUL,s_7_roll_mean_5,s_7_roll_std_5,s_12_roll_mean_5,s_12_roll_std_5,s_14_roll_mean_5,s_14_roll_std_5,s_20_roll_mean_5,s_20_roll_std_5,s_21_roll_mean_5,s_21_roll_std_5,predicted_rul,uncertainty_std,error,abs_error,overestimate
7,1,0.0028,0.0003,100.0,518.67,643.45,1591.21,1416.15,14.62,21.61,552.45,2388.14,9047.72,1.3,47.66,521.03,2388.15,8129.95,8.4689,0.03,394,2388,100.0,38.87,23.1507,221,140,552.45,0.0,521.03,0.0,8129.95,0.0,38.87,0.0,23.1507,0.0,132.56,22.146476017642186,7.439999999999998,7.439999999999998,False
7,2,20.002,0.7007,100.0,491.19,607.95,1477.67,1253.38,9.35,13.66,334.2,2323.95,8711.09,1.08,44.53,314.75,2388.14,8049.65,9.2157,0.02,365,2324,100.0,24.35,14.665,221,140,443.32500000000005,154.32605499396405,417.89,145.861986823161,8089.799999999999,56.78067452927957,31.61,10.267190462828667,18.90785,6.000296013114687,93.74,39.52584470950622,46.260000000000005,46.260000000000005,False
7,3,0.0013,0.0001,100.0,518.67,642.85,1590.36,1414.86,14.62,21.61,553.38,2388.13,9055.37,1.3,47.58,521.84,2388.1,8124.9,8.4184,0.03,395,2388,100.0,38.87,23.1952,221,140,480.01,126.27602028888938,452.53999999999996,119.33032766233403,8101.5,44.974353803028706,34.03,8.383125908633364,20.336966666666665,4.91211761497354,127.02,20.91601300439451,12.980000000000004,12.980000000000004,False
7,4,42.0046,0.84,100.0,445.0,549.96,1352.56,1134.93,3.91,5.71,138.39,2211.77,8317.1,1.02,42.19,130.43,2387.81,8070.8,9.3901,0.02,332,2212,100.0,10.6,6.3527,221,140,394.605,199.51560916379452,372.0125,188.23353692952807,8093.825,39.800554853753574,28.1725,13.568066369236258,16.8409,8.060760604723766,96.84,40.746219456533645,43.16,43.16,False
7,5,0.0009,0.0,100.0,518.67,642.83,1596.45,1407.51,14.62,21.61,552.81,2388.13,9050.93,1.3,47.67,521.07,2388.09,8124.27,8.4168,0.03,394,2388,100.0,38.84,23.3742,221,140,426.246,186.70999740238872,401.824,176.11793202283522,8099.914,37.059988262275624,30.306,12.681814933202581,18.14756,7.567608467871472,119.29,28.959728935195507,20.709999999999994,20.709999999999994,False
7,6,20.0065,0.7,100.0,491.19,607.18,1488.43,1263.16,9.35,13.65,334.43,2323.93,8707.69,1.08,44.45,314.96,2388.09,8059.97,9.2425,0.02,365,2324,100.0,24.4,14.5986,221,140,382.64199999999994,174.95619214534818,360.61,165.00940806511613,8085.918,36.08217246785411,27.412,11.863560595369336,16.43714,7.106525452568224,86.51,34.55763157393746,53.489999999999995,53.489999999999995,False
7,7,10.0044,0.2512,100.0,489.05,605.32,1508.08,1311.95,10.52,15.49,394.41,2318.97,8770.9,1.26,45.47,371.7,2388.19,8123.31,8.659,0.03,369,2319,100.0,28.7,17.0899,221,140,394.68399999999997,172.84782781394736,372.0,163.005833484572,8100.65,32.42424787099938,28.282,11.741751147081938,16.92212,7.037762490095839,124.09,22.864424331261887,15.909999999999997,15.909999999999997,False
7,8,42.002,0.8416,100.0,445.0,549.48,1356.89,1126.36,3.91,5.71,139.58,2211.67,8311.42,1.02,41.91,130.61,2387.75,8081.72,9.3652,0.02,331,2212,100.0,10.42,6.3137,221,140,311.924,176.8848698447665,293.754,166.9494915535834,8092.014,30.011278379968893,22.592,12.212080903760835,13.54582,7.319672759556946,120.75,26.38536526182649,19.25,19.25,False
7,9,42.0004,0.84,100.0,445.0,549.83,1350.48,1123.31,3.91,5.71,138.64,2211.76,8316.65,1.02,42.12,130.89,2387.79,8077.47,9.3683,0.02,331,2212,100.0,10.55,6.3457,221,140,311.97400000000005,176.8235785465275,293.846,166.83707780346677,8093.348000000001,28.96249160552299,22.582,12.224369922413182,13.544419999999999,7.321392970398461,103.22,38.904904575130374,36.78,36.78,False
7,10,10.0049,0.25,100.0,489.05,605.0,1501.7,1316.98,10.52,15.49,394.22,2318.99,8771.46,1.26,45.55,371.18,2388.2,8121.76,8.684,0.03,370,2319,100.0,28.61,17.2104,221,140,280.25600000000003,131.14741678736945,263.868,123.68795523412952,8092.8460000000005,28.30686895437198,20.536,9.338422243612678,12.31166,5.559395842445473,127.08,22.26103321950712,12.920000000000002,12.920000000000002,False
