k,TP_maintained_risky,FP_unnecessary_maintenance,TN_correct_no_maintenance,FN_missed_risky_cases,false_negative_rate,false_positive_rate,total_cost,average_cost_per_sample,cost_fp,cost_fn
0.0,346,20,3630,74,0.1761904761904762,0.005479452054794521,168.0,0.041277641277641275,1.0,2
0.05,348,22,3628,72,0.17142857142857143,0.006027397260273973,166.0,0.04078624078624079,1.0,2
0.1,353,27,3623,67,0.1595238095238095,0.0073972602739726025,161.0,0.03955773955773956,1.0,2
0.15,357,27,3623,63,0.15,0.0073972602739726025,153.0,0.037592137592137594,1.0,2
0.2,361,29,3621,59,0.14047619047619048,0.007945205479452055,147.0,0.036117936117936116,1.0,2
0.25,363,32,3618,57,0.1357142857142857,0.008767123287671232,146.0,0.03587223587223587,1.0,2
0.3,363,32,3618,57,0.1357142857142857,0.008767123287671232,146.0,0.03587223587223587,1.0,2
0.35,367,34,3616,53,0.1261904761904762,0.009315068493150684,140.0,0.0343980343980344,1.0,2
0.4,371,38,3612,49,0.11666666666666667,0.010410958904109589,136.0,0.03341523341523341,1.0,2
0.45,374,47,3603,46,0.10952380952380952,0.012876712328767123,139.0,0.03415233415233415,1.0,2
0.5,378,48,3602,42,0.1,0.01315068493150685,132.0,0.032432432432432434,1.0,2
0.55,381,52,3598,39,0.09285714285714286,0.014246575342465753,130.0,0.03194103194103194,1.0,2
0.6,383,55,3595,37,0.0880952380952381,0.015068493150684932,129.0,0.031695331695331695,1.0,2
0.65,386,59,3591,34,0.08095238095238096,0.016164383561643837,127.0,0.031203931203931203,1.0,2
0.7,388,68,3582,32,0.0761904761904762,0.01863013698630137,132.0,0.032432432432432434,1.0,2
0.75,393,77,3573,27,0.06428571428571428,0.021095890410958905,131.0,0.03218673218673219,1.0,2
0.8,395,92,3558,25,0.05952380952380952,0.025205479452054796,142.0,0.03488943488943489,1.0,2
0.85,397,103,3547,23,0.05476190476190476,0.028219178082191782,149.0,0.03660933660933661,1.0,2
0.9,399,116,3534,21,0.05,0.03178082191780822,158.0,0.03882063882063882,1.0,2
0.95,401,131,3519,19,0.04523809523809524,0.035890410958904106,169.0,0.04152334152334152,1.0,2
1.0,404,155,3495,16,0.0380952380952381,0.04246575342465753,187.0,0.04594594594594595,1.0,2
1.05,407,179,3471,13,0.030952380952380953,0.04904109589041096,205.0,0.05036855036855037,1.0,2
1.1,409,200,3450,11,0.02619047619047619,0.0547945205479452,222.0,0.05454545454545454,1.0,2
1.15,411,210,3440,9,0.02142857142857143,0.057534246575342465,228.0,0.05601965601965602,1.0,2
1.2,413,229,3421,7,0.016666666666666666,0.06273972602739726,243.0,0.0597051597051597,1.0,2
1.25,416,259,3391,4,0.009523809523809525,0.07095890410958904,267.0,0.0656019656019656,1.0,2
1.3,418,280,3370,2,0.004761904761904762,0.07671232876712329,284.0,0.06977886977886978,1.0,2
1.35,419,311,3339,1,0.002380952380952381,0.0852054794520548,313.0,0.0769041769041769,1.0,2
1.4,419,336,3314,1,0.002380952380952381,0.09205479452054795,338.0,0.08304668304668304,1.0,2
1.45,419,368,3282,1,0.002380952380952381,0.10082191780821918,370.0,0.09090909090909091,1.0,2
1.5,419,392,3258,1,0.002380952380952381,0.1073972602739726,394.0,0.09680589680589681,1.0,2
1.55,420,425,3225,0,0.0,0.11643835616438356,425.0,0.10442260442260443,1.0,2
1.6,420,462,3188,0,0.0,0.12657534246575342,462.0,0.11351351351351352,1.0,2
1.65,420,497,3153,0,0.0,0.13616438356164384,497.0,0.12211302211302211,1.0,2
1.7,420,536,3114,0,0.0,0.14684931506849316,536.0,0.1316953316953317,1.0,2
1.75,420,571,3079,0,0.0,0.15643835616438356,571.0,0.1402948402948403,1.0,2
1.8,420,614,3036,0,0.0,0.16821917808219178,614.0,0.15085995085995085,1.0,2
1.85,420,656,2994,0,0.0,0.17972602739726026,656.0,0.16117936117936119,1.0,2
1.9,420,688,2962,0,0.0,0.1884931506849315,688.0,0.16904176904176904,1.0,2
1.95,420,728,2922,0,0.0,0.19945205479452055,728.0,0.17886977886977887,1.0,2
2.0,420,759,2891,0,0.0,0.20794520547945206,759.0,0.1864864864864865,1.0,2
0.0,346,20,3630,74,0.1761904761904762,0.005479452054794521,390.0,0.09582309582309582,1.0,5
0.05,348,22,3628,72,0.17142857142857143,0.006027397260273973,382.0,0.09385749385749385,1.0,5
0.1,353,27,3623,67,0.1595238095238095,0.0073972602739726025,362.0,0.08894348894348894,1.0,5
0.15,357,27,3623,63,0.15,0.0073972602739726025,342.0,0.08402948402948403,1.0,5
0.2,361,29,3621,59,0.14047619047619048,0.007945205479452055,324.0,0.07960687960687961,1.0,5
0.25,363,32,3618,57,0.1357142857142857,0.008767123287671232,317.0,0.07788697788697789,1.0,5
0.3,363,32,3618,57,0.1357142857142857,0.008767123287671232,317.0,0.07788697788697789,1.0,5
0.35,367,34,3616,53,0.1261904761904762,0.009315068493150684,299.0,0.07346437346437347,1.0,5
0.4,371,38,3612,49,0.11666666666666667,0.010410958904109589,283.0,0.06953316953316953,1.0,5
0.45,374,47,3603,46,0.10952380952380952,0.012876712328767123,277.0,0.06805896805896806,1.0,5
0.5,378,48,3602,42,0.1,0.01315068493150685,258.0,0.06339066339066339,1.0,5
0.55,381,52,3598,39,0.09285714285714286,0.014246575342465753,247.0,0.06068796068796069,1.0,5
0.6,383,55,3595,37,0.0880952380952381,0.015068493150684932,240.0,0.05896805896805897,1.0,5
0.65,386,59,3591,34,0.08095238095238096,0.016164383561643837,229.0,0.05626535626535627,1.0,5
0.7,388,68,3582,32,0.0761904761904762,0.01863013698630137,228.0,0.05601965601965602,1.0,5
0.75,393,77,3573,27,0.06428571428571428,0.021095890410958905,212.0,0.052088452088452086,1.0,5
0.8,395,92,3558,25,0.05952380952380952,0.025205479452054796,217.0,0.05331695331695332,1.0,5
0.85,397,103,3547,23,0.05476190476190476,0.028219178082191782,218.0,0.053562653562653564,1.0,5
0.9,399,116,3534,21,0.05,0.03178082191780822,221.0,0.054299754299754296,1.0,5
0.95,401,131,3519,19,0.04523809523809524,0.035890410958904106,226.0,0.05552825552825553,1.0,5
1.0,404,155,3495,16,0.0380952380952381,0.04246575342465753,235.0,0.05773955773955774,1.0,5
1.05,407,179,3471,13,0.030952380952380953,0.04904109589041096,244.0,0.05995085995085995,1.0,5
1.1,409,200,3450,11,0.02619047619047619,0.0547945205479452,255.0,0.06265356265356266,1.0,5
1.15,411,210,3440,9,0.02142857142857143,0.057534246575342465,255.0,0.06265356265356266,1.0,5
1.2,413,229,3421,7,0.016666666666666666,0.06273972602739726,264.0,0.06486486486486487,1.0,5
1.25,416,259,3391,4,0.009523809523809525,0.07095890410958904,279.0,0.06855036855036856,1.0,5
1.3,418,280,3370,2,0.004761904761904762,0.07671232876712329,290.0,0.07125307125307126,1.0,5
1.35,419,311,3339,1,0.002380952380952381,0.0852054794520548,316.0,0.07764127764127764,1.0,5
1.4,419,336,3314,1,0.002380952380952381,0.09205479452054795,341.0,0.08378378378378379,1.0,5
1.45,419,368,3282,1,0.002380952380952381,0.10082191780821918,373.0,0.09164619164619164,1.0,5
1.5,419,392,3258,1,0.002380952380952381,0.1073972602739726,397.0,0.09754299754299754,1.0,5
1.55,420,425,3225,0,0.0,0.11643835616438356,425.0,0.10442260442260443,1.0,5
1.6,420,462,3188,0,0.0,0.12657534246575342,462.0,0.11351351351351352,1.0,5
1.65,420,497,3153,0,0.0,0.13616438356164384,497.0,0.12211302211302211,1.0,5
1.7,420,536,3114,0,0.0,0.14684931506849316,536.0,0.1316953316953317,1.0,5
1.75,420,571,3079,0,0.0,0.15643835616438356,571.0,0.1402948402948403,1.0,5
1.8,420,614,3036,0,0.0,0.16821917808219178,614.0,0.15085995085995085,1.0,5
1.85,420,656,2994,0,0.0,0.17972602739726026,656.0,0.16117936117936119,1.0,5
1.9,420,688,2962,0,0.0,0.1884931506849315,688.0,0.16904176904176904,1.0,5
1.95,420,728,2922,0,0.0,0.19945205479452055,728.0,0.17886977886977887,1.0,5
2.0,420,759,2891,0,0.0,0.20794520547945206,759.0,0.1864864864864865,1.0,5
0.0,346,20,3630,74,0.1761904761904762,0.005479452054794521,760.0,0.18673218673218672,1.0,10
0.05,348,22,3628,72,0.17142857142857143,0.006027397260273973,742.0,0.1823095823095823,1.0,10
0.1,353,27,3623,67,0.1595238095238095,0.0073972602739726025,697.0,0.17125307125307127,1.0,10
0.15,357,27,3623,63,0.15,0.0073972602739726025,657.0,0.1614250614250614,1.0,10
0.2,361,29,3621,59,0.14047619047619048,0.007945205479452055,619.0,0.1520884520884521,1.0,10
0.25,363,32,3618,57,0.1357142857142857,0.008767123287671232,602.0,0.14791154791154792,1.0,10
0.3,363,32,3618,57,0.1357142857142857,0.008767123287671232,602.0,0.14791154791154792,1.0,10
0.35,367,34,3616,53,0.1261904761904762,0.009315068493150684,564.0,0.13857493857493858,1.0,10
0.4,371,38,3612,49,0.11666666666666667,0.010410958904109589,528.0,0.12972972972972974,1.0,10
0.45,374,47,3603,46,0.10952380952380952,0.012876712328767123,507.0,0.12457002457002457,1.0,10
0.5,378,48,3602,42,0.1,0.01315068493150685,468.0,0.11498771498771498,1.0,10
0.55,381,52,3598,39,0.09285714285714286,0.014246575342465753,442.0,0.10859950859950859,1.0,10
0.6,383,55,3595,37,0.0880952380952381,0.015068493150684932,425.0,0.10442260442260443,1.0,10
0.65,386,59,3591,34,0.08095238095238096,0.016164383561643837,399.0,0.09803439803439803,1.0,10
0.7,388,68,3582,32,0.0761904761904762,0.01863013698630137,388.0,0.09533169533169533,1.0,10
0.75,393,77,3573,27,0.06428571428571428,0.021095890410958905,347.0,0.08525798525798525,1.0,10
0.8,395,92,3558,25,0.05952380952380952,0.025205479452054796,342.0,0.08402948402948403,1.0,10
0.85,397,103,3547,23,0.05476190476190476,0.028219178082191782,333.0,0.08181818181818182,1.0,10
0.9,399,116,3534,21,0.05,0.03178082191780822,326.0,0.0800982800982801,1.0,10
0.95,401,131,3519,19,0.04523809523809524,0.035890410958904106,321.0,0.07886977886977888,1.0,10
1.0,404,155,3495,16,0.0380952380952381,0.04246575342465753,315.0,0.0773955773955774,1.0,10
1.05,407,179,3471,13,0.030952380952380953,0.04904109589041096,309.0,0.07592137592137592,1.0,10
1.1,409,200,3450,11,0.02619047619047619,0.0547945205479452,310.0,0.07616707616707617,1.0,10
1.15,411,210,3440,9,0.02142857142857143,0.057534246575342465,300.0,0.07371007371007371,1.0,10
1.2,413,229,3421,7,0.016666666666666666,0.06273972602739726,299.0,0.07346437346437347,1.0,10
1.25,416,259,3391,4,0.009523809523809525,0.07095890410958904,299.0,0.07346437346437347,1.0,10
1.3,418,280,3370,2,0.004761904761904762,0.07671232876712329,300.0,0.07371007371007371,1.0,10
1.35,419,311,3339,1,0.002380952380952381,0.0852054794520548,321.0,0.07886977886977888,1.0,10
1.4,419,336,3314,1,0.002380952380952381,0.09205479452054795,346.0,0.08501228501228501,1.0,10
1.45,419,368,3282,1,0.002380952380952381,0.10082191780821918,378.0,0.09287469287469287,1.0,10
1.5,419,392,3258,1,0.002380952380952381,0.1073972602739726,402.0,0.09877149877149877,1.0,10
1.55,420,425,3225,0,0.0,0.11643835616438356,425.0,0.10442260442260443,1.0,10
1.6,420,462,3188,0,0.0,0.12657534246575342,462.0,0.11351351351351352,1.0,10
1.65,420,497,3153,0,0.0,0.13616438356164384,497.0,0.12211302211302211,1.0,10
1.7,420,536,3114,0,0.0,0.14684931506849316,536.0,0.1316953316953317,1.0,10
1.75,420,571,3079,0,0.0,0.15643835616438356,571.0,0.1402948402948403,1.0,10
1.8,420,614,3036,0,0.0,0.16821917808219178,614.0,0.15085995085995085,1.0,10
1.85,420,656,2994,0,0.0,0.17972602739726026,656.0,0.16117936117936119,1.0,10
1.9,420,688,2962,0,0.0,0.1884931506849315,688.0,0.16904176904176904,1.0,10
1.95,420,728,2922,0,0.0,0.19945205479452055,728.0,0.17886977886977887,1.0,10
2.0,420,759,2891,0,0.0,0.20794520547945206,759.0,0.1864864864864865,1.0,10
0.0,346,20,3630,74,0.1761904761904762,0.005479452054794521,1500.0,0.36855036855036855,1.0,20
0.05,348,22,3628,72,0.17142857142857143,0.006027397260273973,1462.0,0.3592137592137592,1.0,20
0.1,353,27,3623,67,0.1595238095238095,0.0073972602739726025,1367.0,0.33587223587223586,1.0,20
0.15,357,27,3623,63,0.15,0.0073972602739726025,1287.0,0.3162162162162162,1.0,20
0.2,361,29,3621,59,0.14047619047619048,0.007945205479452055,1209.0,0.29705159705159706,1.0,20
0.25,363,32,3618,57,0.1357142857142857,0.008767123287671232,1172.0,0.28796068796068797,1.0,20
0.3,363,32,3618,57,0.1357142857142857,0.008767123287671232,1172.0,0.28796068796068797,1.0,20
0.35,367,34,3616,53,0.1261904761904762,0.009315068493150684,1094.0,0.2687960687960688,1.0,20
0.4,371,38,3612,49,0.11666666666666667,0.010410958904109589,1018.0,0.2501228501228501,1.0,20
0.45,374,47,3603,46,0.10952380952380952,0.012876712328767123,967.0,0.2375921375921376,1.0,20
0.5,378,48,3602,42,0.1,0.01315068493150685,888.0,0.21818181818181817,1.0,20
0.55,381,52,3598,39,0.09285714285714286,0.014246575342465753,832.0,0.20442260442260443,1.0,20
0.6,383,55,3595,37,0.0880952380952381,0.015068493150684932,795.0,0.19533169533169534,1.0,20
0.65,386,59,3591,34,0.08095238095238096,0.016164383561643837,739.0,0.18157248157248157,1.0,20
0.7,388,68,3582,32,0.0761904761904762,0.01863013698630137,708.0,0.17395577395577397,1.0,20
0.75,393,77,3573,27,0.06428571428571428,0.021095890410958905,617.0,0.15159705159705159,1.0,20
0.8,395,92,3558,25,0.05952380952380952,0.025205479452054796,592.0,0.14545454545454545,1.0,20
0.85,397,103,3547,23,0.05476190476190476,0.028219178082191782,563.0,0.13832923832923832,1.0,20
0.9,399,116,3534,21,0.05,0.03178082191780822,536.0,0.1316953316953317,1.0,20
0.95,401,131,3519,19,0.04523809523809524,0.035890410958904106,511.0,0.12555282555282554,1.0,20
1.0,404,155,3495,16,0.0380952380952381,0.04246575342465753,475.0,0.1167076167076167,1.0,20
1.05,407,179,3471,13,0.030952380952380953,0.04904109589041096,439.0,0.10786240786240786,1.0,20
1.1,409,200,3450,11,0.02619047619047619,0.0547945205479452,420.0,0.10319410319410319,1.0,20
1.15,411,210,3440,9,0.02142857142857143,0.057534246575342465,390.0,0.09582309582309582,1.0,20
