k,TP_maintained_risky,FP_unnecessary_maintenance,TN_correct_no_maintenance,FN_missed_risky_cases,false_negative_rate,false_positive_rate,total_cost,average_cost_per_sample,cost_fp,cost_fn
0.0,346,20,3630,74,0.1761904761904762,0.005479452054794521,168.0,0.041277641277641275,1.0,2
0.25,363,32,3618,57,0.1357142857142857,0.008767123287671232,146.0,0.03587223587223587,1.0,2
0.5,378,48,3602,42,0.1,0.01315068493150685,132.0,0.032432432432432434,1.0,2
0.75,393,77,3573,27,0.06428571428571428,0.021095890410958905,131.0,0.03218673218673219,1.0,2
1.0,404,155,3495,16,0.0380952380952381,0.04246575342465753,187.0,0.04594594594594595,1.0,2
1.25,416,259,3391,4,0.009523809523809525,0.07095890410958904,267.0,0.0656019656019656,1.0,2
1.5,419,392,3258,1,0.002380952380952381,0.1073972602739726,394.0,0.09680589680589681,1.0,2
1.64,420,490,3160,0,0.0,0.13424657534246576,490.0,0.12039312039312039,1.0,2
2.0,420,759,2891,0,0.0,0.20794520547945206,759.0,0.1864864864864865,1.0,2
0.0,346,20,3630,74,0.1761904761904762,0.005479452054794521,390.0,0.09582309582309582,1.0,5
0.25,363,32,3618,57,0.1357142857142857,0.008767123287671232,317.0,0.07788697788697789,1.0,5
0.5,378,48,3602,42,0.1,0.01315068493150685,258.0,0.06339066339066339,1.0,5
0.75,393,77,3573,27,0.06428571428571428,0.021095890410958905,212.0,0.052088452088452086,1.0,5
1.0,404,155,3495,16,0.0380952380952381,0.04246575342465753,235.0,0.05773955773955774,1.0,5
1.25,416,259,3391,4,0.009523809523809525,0.07095890410958904,279.0,0.06855036855036856,1.0,5
1.5,419,392,3258,1,0.002380952380952381,0.1073972602739726,397.0,0.09754299754299754,1.0,5
1.64,420,490,3160,0,0.0,0.13424657534246576,490.0,0.12039312039312039,1.0,5
2.0,420,759,2891,0,0.0,0.20794520547945206,759.0,0.1864864864864865,1.0,5
0.0,346,20,3630,74,0.1761904761904762,0.005479452054794521,760.0,0.18673218673218672,1.0,10
0.25,363,32,3618,57,0.1357142857142857,0.008767123287671232,602.0,0.14791154791154792,1.0,10
0.5,378,48,3602,42,0.1,0.01315068493150685,468.0,0.11498771498771498,1.0,10
0.75,393,77,3573,27,0.06428571428571428,0.021095890410958905,347.0,0.08525798525798525,1.0,10
1.0,404,155,3495,16,0.0380952380952381,0.04246575342465753,315.0,0.0773955773955774,1.0,10
1.25,416,259,3391,4,0.009523809523809525,0.07095890410958904,299.0,0.07346437346437347,1.0,10
1.5,419,392,3258,1,0.002380952380952381,0.1073972602739726,402.0,0.09877149877149877,1.0,10
1.64,420,490,3160,0,0.0,0.13424657534246576,490.0,0.12039312039312039,1.0,10
2.0,420,759,2891,0,0.0,0.20794520547945206,759.0,0.1864864864864865,1.0,10
0.0,346,20,3630,74,0.1761904761904762,0.005479452054794521,1500.0,0.36855036855036855,1.0,20
0.25,363,32,3618,57,0.1357142857142857,0.008767123287671232,1172.0,0.28796068796068797,1.0,20
0.5,378,48,3602,42,0.1,0.01315068493150685,888.0,0.21818181818181817,1.0,20
0.75,393,77,3573,27,0.06428571428571428,0.021095890410958905,617.0,0.15159705159705159,1.0,20
1.0,404,155,3495,16,0.0380952380952381,0.04246575342465753,475.0,0.1167076167076167,1.0,20
1.25,416,259,3391,4,0.009523809523809525,0.07095890410958904,339.0,0.0832923832923833,1.0,20
1.5,419,392,3258,1,0.002380952380952381,0.1073972602739726,412.0,0.10122850122850123,1.0,20
1.64,420,490,3160,0,0.0,0.13424657534246576,490.0,0.12039312039312039,1.0,20
2.0,420,759,2891,0,0.0,0.20794520547945206,759.0,0.1864864864864865,1.0,20
0.0,346,20,3630,74,0.1761904761904762,0.005479452054794521,3720.0,0.914004914004914,1.0,50
0.25,363,32,3618,57,0.1357142857142857,0.008767123287671232,2882.0,0.7081081081081081,1.0,50
0.5,378,48,3602,42,0.1,0.01315068493150685,2148.0,0.5277641277641277,1.0,50
0.75,393,77,3573,27,0.06428571428571428,0.021095890410958905,1427.0,0.3506142506142506,1.0,50
1.0,404,155,3495,16,0.0380952380952381,0.04246575342465753,955.0,0.23464373464373464,1.0,50
1.25,416,259,3391,4,0.009523809523809525,0.07095890410958904,459.0,0.11277641277641277,1.0,50
1.5,419,392,3258,1,0.002380952380952381,0.1073972602739726,442.0,0.10859950859950859,1.0,50
1.64,420,490,3160,0,0.0,0.13424657534246576,490.0,0.12039312039312039,1.0,50
2.0,420,759,2891,0,0.0,0.20794520547945206,759.0,0.1864864864864865,1.0,50
0.0,346,20,3630,74,0.1761904761904762,0.005479452054794521,7420.0,1.8230958230958232,1.0,100
0.25,363,32,3618,57,0.1357142857142857,0.008767123287671232,5732.0,1.4083538083538083,1.0,100
0.5,378,48,3602,42,0.1,0.01315068493150685,4248.0,1.0437346437346438,1.0,100
0.75,393,77,3573,27,0.06428571428571428,0.021095890410958905,2777.0,0.6823095823095823,1.0,100
1.0,404,155,3495,16,0.0380952380952381,0.04246575342465753,1755.0,0.4312039312039312,1.0,100
1.25,416,259,3391,4,0.009523809523809525,0.07095890410958904,659.0,0.16191646191646192,1.0,100
1.5,419,392,3258,1,0.002380952380952381,0.1073972602739726,492.0,0.12088452088452088,1.0,100
1.64,420,490,3160,0,0.0,0.13424657534246576,490.0,0.12039312039312039,1.0,100
2.0,420,759,2891,0,0.0,0.20794520547945206,759.0,0.1864864864864865,1.0,100
