threshold,policy,fn_rate,fp_rate,cost,fn_count,fp_count
10,Point Prediction,0.2590909090909091,0.002077922077922078,0.07199017199017199,57,8
10,Uncertainty-Aware,0.0,0.05792207792207792,0.05479115479115479,0,223
15,Point Prediction,0.209375,0.0056,0.08746928746928746,67,21
15,Uncertainty-Aware,0.003125,0.1032,0.09631449631449632,1,387
20,Point Prediction,0.1761904761904762,0.005479452054794521,0.09582309582309582,74,20
20,Uncertainty-Aware,0.0,0.13424657534246576,0.12039312039312039,0,490
25,Point Prediction,0.19807692307692307,0.005633802816901409,0.13144963144963145,103,20
25,Uncertainty-Aware,0.0,0.15943661971830986,0.13906633906633906,0,566
30,Point Prediction,0.2,0.010434782608695653,0.16117936117936119,124,36
30,Uncertainty-Aware,0.0032258064516129032,0.1782608695652174,0.15356265356265356,2,615
35,Point Prediction,0.16111111111111112,0.015223880597014926,0.15503685503685505,116,51
35,Uncertainty-Aware,0.013888888888888888,0.18985074626865672,0.16855036855036856,10,636
40,Point Prediction,0.15609756097560976,0.015384615384615385,0.16953316953316952,128,50
40,Uncertainty-Aware,0.007317073170731708,0.21107692307692308,0.1759213759213759,6,686
45,Point Prediction,0.16956521739130434,0.022222222222222223,0.20884520884520885,156,70
45,Uncertainty-Aware,0.006521739130434782,0.23333333333333334,0.18796068796068796,6,735
50,Point Prediction,0.18137254901960784,0.022295081967213116,0.243980343980344,185,68
50,Uncertainty-Aware,0.012745098039215686,0.26196721311475407,0.2122850122850123,13,799
55,Point Prediction,0.1767857142857143,0.02745762711864407,0.26314496314496316,198,81
55,Uncertainty-Aware,0.019642857142857142,0.2959322033898305,0.2415233415233415,22,873
60,Point Prediction,0.1737704918032787,0.037192982456140354,0.2864864864864865,212,106
60,Uncertainty-Aware,0.022131147540983605,0.32456140350877194,0.26044226044226043,27,925
