failure_cost,policy,fn_count,fp_count,fn_rate,fp_rate,cost
5,Point Prediction,76,20,0.18095238095238095,0.005479452054794521,0.09828009828009827
5,Uncertainty-Aware,0,498,0.0,0.13643835616438357,0.12235872235872236
10,Point Prediction,76,20,0.18095238095238095,0.005479452054794521,0.19164619164619165
10,Uncertainty-Aware,0,498,0.0,0.13643835616438357,0.12235872235872236
20,Point Prediction,76,20,0.18095238095238095,0.005479452054794521,0.3783783783783784
20,Uncertainty-Aware,0,498,0.0,0.13643835616438357,0.12235872235872236
50,Point Prediction,76,20,0.18095238095238095,0.005479452054794521,0.9385749385749386
50,Uncertainty-Aware,0,498,0.0,0.13643835616438357,0.12235872235872236
100,Point Prediction,76,20,0.18095238095238095,0.005479452054794521,1.8722358722358723
100,Uncertainty-Aware,0,498,0.0,0.13643835616438357,0.12235872235872236
