threshold,policy,fn_count,fp_count,fn_rate,fp_rate,cost
10,Point Prediction,58,9,0.2636363636363636,0.0023376623376623377,0.14471744471744472
10,Uncertainty-Aware,0,229,0.0,0.05948051948051948,0.05626535626535627
15,Point Prediction,70,20,0.21875,0.005333333333333333,0.1769041769041769
15,Uncertainty-Aware,0,382,0.0,0.10186666666666666,0.09385749385749385
20,Point Prediction,76,20,0.18095238095238095,0.005479452054794521,0.19164619164619165
20,Uncertainty-Aware,0,498,0.0,0.13643835616438357,0.12235872235872236
25,Point Prediction,106,19,0.20384615384615384,0.005352112676056338,0.26511056511056513
25,Uncertainty-Aware,0,585,0.0,0.1647887323943662,0.14373464373464373
30,Point Prediction,123,32,0.19838709677419356,0.00927536231884058,0.3100737100737101
30,Uncertainty-Aware,4,620,0.0064516129032258064,0.17971014492753623,0.16216216216216217
40,Point Prediction,127,53,0.1548780487804878,0.016307692307692308,0.32506142506142505
40,Uncertainty-Aware,7,688,0.00853658536585366,0.21169230769230768,0.18624078624078624
50,Point Prediction,179,71,0.17549019607843136,0.023278688524590165,0.45724815724815726
50,Uncertainty-Aware,15,804,0.014705882352941176,0.2636065573770492,0.2343980343980344
60,Point Prediction,213,108,0.17459016393442622,0.037894736842105266,0.5498771498771499
60,Uncertainty-Aware,23,931,0.018852459016393444,0.32666666666666666,0.28525798525798524
