method,cost_fn,avg_uncertainty_eval_total_cost,avg_uncertainty_eval_FN,avg_cost_reduction_percent,avg_fn_reduction_percent
bootstrap_gbr,2,863.25,314.75,12.019150711207095,27.028654424959697
bootstrap_gbr,5,1765.5,299.25,29.233009575453615,45.573583812239725
bootstrap_gbr,10,3258.0,294.0,37.52853368477273,52.70264489561545
bootstrap_gbr,20,6162.75,291.25,47.31929712202198,56.646037321078786
bootstrap_gbr,50,14782.5,287.0,56.167040989033595,62.66940557248894
bootstrap_gbr,100,29132.5,287.0,59.39415315585978,62.66940557248894
bootstrap_rf,2,638.0,209.75,13.062583239076742,27.922011978502574
bootstrap_rf,5,1090.75,126.0,34.636575202054274,59.96202671558315
bootstrap_rf,10,1572.5,84.0,51.40583750524934,70.4169005774049
bootstrap_rf,20,2268.25,66.5,64.32760166811549,81.19478655418476
bootstrap_rf,50,4263.25,66.0,74.44380208247304,81.91651871136199
bootstrap_rf,100,7456.25,64.75,79.40027281377829,83.37000708345501
quantile_gbr,2,708.25,206.75,18.40120909142817,34.701427016286054
quantile_gbr,5,1120.75,129.5,45.79573985548116,71.10724537339648
quantile_gbr,10,1524.75,77.25,62.57542202398961,80.73485331449679
quantile_gbr,20,2022.75,47.5,74.32563188095737,86.51206042899166
quantile_gbr,50,2897.75,28.0,83.66055871203433,90.66517137516159
quantile_gbr,100,3857.0,14.25,87.66786252607567,92.28552514263066
rf_tree_std,2,622.75,179.0,14.085056488756068,37.25022396990995
rf_tree_std,5,1041.5,119.25,36.76424012606544,66.46443089634992
rf_tree_std,10,1459.0,72.5,55.2770767241103,81.29884818045055
rf_tree_std,20,1947.75,46.25,70.70770960325531,86.85969432605098
rf_tree_std,50,2763.25,24.25,83.81778788225503,94.03320054758613
rf_tree_std,100,3774.5,19.5,89.22942937178695,94.80180896182561
