dataset,method,best_k_chosen_on_calibration,uncertainty_eval_FN,uncertainty_eval_total_cost,fn_reduction_percent,cost_reduction_percent
FD001,rf_tree_std,1.05,9.0,410.0,85.24590163934427,67.5632911392405
FD001,quantile_gbr,0.85,11.0,414.0,81.9672131147541,67.42722265932336
FD001,bootstrap_gbr,2.6,21.0,573.0,69.11764705882354,59.27505330490405
FD001,bootstrap_rf,3.6,13.0,588.0,77.58620689655173,51.16279069767442
FD002,rf_tree_std,1.55,53.0,2985.0,91.42394822006472,76.06830754429568
FD002,quantile_gbr,1.25,49.0,3162.0,94.29569266589056,81.69079328314997
FD002,bootstrap_rf,6.0,106.0,3741.0,83.41158059467918,70.94368932038834
FD002,bootstrap_gbr,6.0,603.0,12460.0,32.625698324022345,30.666073117800902
FD003,rf_tree_std,1.45,9.0,495.0,88.75,69.76175931582162
FD003,quantile_gbr,1.25,14.0,495.0,83.52941176470588,71.90692395005675
FD003,bootstrap_rf,3.5,13.0,566.0,84.88372093023256,67.89563244469655
FD003,bootstrap_gbr,3.65,11.0,582.0,84.93150684931507,61.73570019723866
FD004,rf_tree_std,1.55,114.0,3901.0,82.01892744479495,69.43748041366342
FD004,quantile_gbr,1.25,116.0,4020.0,86.25592417061611,76.27758763129943
FD004,bootstrap_rf,5.95,134.0,4178.0,78.89763779527559,67.30829420970267
FD004,bootstrap_gbr,6.0,530.0,11036.0,39.909297052154194,37.6003618681443
