method,cost_fn,avg_best_k,avg_fn_reduction_percent,avg_cost_reduction_percent
bootstrap_gbr,2,3.1125,27.028654424959697,12.019150711207095
bootstrap_gbr,5,3.825,45.573583812239725,29.233009575453615
bootstrap_gbr,10,4.375,52.70264489561545,37.52853368477273
bootstrap_gbr,20,4.5625,56.646037321078786,47.31929712202198
bootstrap_gbr,50,5.25,62.66940557248894,56.167040989033595
bootstrap_gbr,100,5.25,62.66940557248894,59.39415315585978
bootstrap_rf,2,1.3250000000000002,27.922011978502574,13.062583239076742
bootstrap_rf,5,2.9875,59.96202671558315,34.636575202054274
bootstrap_rf,10,3.875,70.4169005774049,51.40583750524934
bootstrap_rf,20,4.7625,81.19478655418476,64.32760166811549
bootstrap_rf,50,4.8875,81.91651871136199,74.44380208247304
bootstrap_rf,100,4.9875,83.37000708345501,79.40027281377829
quantile_gbr,2,0.55,34.701427016286054,18.40120909142817
quantile_gbr,5,0.95,71.10724537339648,45.79573985548116
quantile_gbr,10,1.075,80.73485331449679,62.57542202398961
quantile_gbr,20,1.15,86.51206042899166,74.32563188095737
quantile_gbr,50,1.2625000000000002,90.66517137516159,83.66055871203433
quantile_gbr,100,1.325,92.28552514263066,87.66786252607567
rf_tree_std,2,0.475,37.25022396990995,14.085056488756068
rf_tree_std,5,0.9249999999999999,66.46443089634992,36.76424012606544
rf_tree_std,10,1.2375,81.29884818045055,55.2770767241103
rf_tree_std,20,1.4,86.85969432605098,70.70770960325531
rf_tree_std,50,1.725,94.03320054758613,83.81778788225503
rf_tree_std,100,1.8250000000000002,94.80180896182561,89.22942937178695
