method,cost_fn,avg_cost_reduction_percent,avg_fn_reduction_percent,avg_best_k
bootstrap_gbr,2,12.019150711207095,27.028654424959697,3.1125
bootstrap_gbr,5,29.233009575453615,45.573583812239725,3.825
bootstrap_gbr,10,37.52853368477273,52.70264489561545,4.375
bootstrap_gbr,20,47.31929712202198,56.646037321078786,4.5625
bootstrap_gbr,50,56.167040989033595,62.66940557248894,5.25
bootstrap_gbr,100,59.39415315585978,62.66940557248894,5.25
bootstrap_rf,2,13.062583239076742,27.922011978502574,1.3250000000000002
bootstrap_rf,5,34.636575202054274,59.96202671558315,2.9875
bootstrap_rf,10,51.40583750524934,70.4169005774049,3.875
bootstrap_rf,20,64.32760166811549,81.19478655418476,4.7625
bootstrap_rf,50,74.44380208247304,81.91651871136199,4.8875
bootstrap_rf,100,79.40027281377829,83.37000708345501,4.9875
rf_tree_std,2,14.085056488756068,37.25022396990995,0.475
rf_tree_std,5,36.76424012606544,66.46443089634992,0.9249999999999999
rf_tree_std,10,55.2770767241103,81.29884818045055,1.2375
rf_tree_std,20,70.70770960325531,86.85969432605098,1.4
rf_tree_std,50,83.81778788225503,94.03320054758613,1.725
rf_tree_std,100,89.22942937178695,94.80180896182561,1.8250000000000002
