dataset,method,cost_fn,best_k_chosen_on_calibration,point_eval_FN,uncertainty_eval_FN,fn_reduction_percent,point_eval_total_cost,uncertainty_eval_total_cost,cost_reduction_percent
FD001,bootstrap_gbr,20,2.6,68.0,21.0,69.11764705882354,1407.0,573.0,59.27505330490405
FD001,bootstrap_rf,20,3.6,58.0,13.0,77.58620689655173,1204.0,588.0,51.16279069767442
FD001,quantile_gbr,20,0.85,61.0,11.0,81.9672131147541,1271.0,414.0,67.42722265932336
FD001,rf_tree_std,20,1.05,61.0,9.0,85.24590163934427,1264.0,410.0,67.5632911392405
FD002,bootstrap_gbr,20,6.0,895.0,603.0,32.625698324022345,17971.0,12460.0,30.666073117800902
FD002,bootstrap_rf,20,6.0,639.0,106.0,83.41158059467918,12875.0,3741.0,70.94368932038834
FD002,quantile_gbr,20,1.25,859.0,49.0,94.29569266589056,17270.0,3162.0,81.69079328314997
FD002,rf_tree_std,20,1.55,618.0,53.0,91.42394822006472,12473.0,2985.0,76.06830754429568
FD003,bootstrap_gbr,20,3.65,73.0,11.0,84.93150684931507,1521.0,582.0,61.73570019723866
FD003,bootstrap_rf,20,3.5,86.0,13.0,84.88372093023256,1763.0,566.0,67.89563244469655
FD003,quantile_gbr,20,1.25,85.0,14.0,83.52941176470588,1762.0,495.0,71.90692395005675
FD003,rf_tree_std,20,1.45,80.0,9.0,88.75,1637.0,495.0,69.76175931582162
FD004,bootstrap_gbr,20,6.0,882.0,530.0,39.909297052154194,17686.0,11036.0,37.6003618681443
FD004,bootstrap_rf,20,5.95,635.0,134.0,78.89763779527559,12780.0,4178.0,67.30829420970267
FD004,quantile_gbr,20,1.25,844.0,116.0,86.25592417061611,16946.0,4020.0,76.27758763129943
FD004,rf_tree_std,20,1.55,634.0,114.0,82.01892744479495,12764.0,3901.0,69.43748041366342
